Park Name,Park Category,Description,Address Line 1,Address Line 2,Address Line 3,City,State,Zip Code,Phone Number
President's Park (White House),,"Every president except George Washington has called the White House home and has run the executive branch of the United States government from within its walls. Recognizable around the world, the White House stands as a symbol of democracy. The White House and its park grounds also serve as an iconic place for civil discourse.",1849 C Street NW,Room 1426,,Washington,DC,20240,202 208-1631
Rock Creek,Park,"Rock Creek Park is truly a gem in our nation's capital. This 1,754 acre city park was officially authorized in 1890, making it the third national park to be designated by the federal government. It offers visitors the opportunity to escape the bustle of the city and find a peaceful refuge, recreation, fresh air, majestic trees, wild animals, and thousands of years of human history.","5200 Glover Rd, NW",,,Washington,DC,20015,202 895-6000
Star-Spangled Banner,National Historic Trail,"For three years the young United States was embroiled in the War of 1812 and the Chesapeake Bay region felt the brunt of it, choked by shipping blockades and ravaged by enemy raids. Through sites and landscapes in Virginia, the District of Columbia, and Maryland, the Trail tells the stories of the events, people, and places that led to the birth of the U.S. national anthem.",2400 East Fort Avenue,,,Baltimore,MD,21230,410.962.4290
Theodore Roosevelt Island,,"In the 1930s, landscape architects transformed Mason’s Island from neglected, overgrown farmland into Theodore Roosevelt Island, a memorial to America’s 26th president. They conceived a “real forest” designed to mimic the natural forest that once covered the island. Today miles of trails through wooded uplands and swampy bottomlands honor the legacy of a great outdoorsman and conservationist.",700 George Washington Memorial Parkway,,,McLean,VA,22101,703 289-2500
Thomas Jefferson Memorial,,"Author of the Declaration of Independence, statesman and visionary for the founding of a nation.",900 Ohio Drive SW,,,Washington,DC,20024,202 426-6841
Vietnam Veterans,Memorial,"Honoring the men and women who served in the controversial Vietnam War, the Vietnam Veterans Memorial chronologically lists the names of 58,318 Americans who gave their lives in service to their country.",900 Ohio Drive SW,,,Washington,DC,20024,202-426-6841
Washington Monument,,"Built to honor George Washington, the United States' first president, the 555-foot marble obelisk towers over Washington, D.C.",900 Ohio Drive SW,,,Washington,DC,20024,202-426-6841
Washington-Rochambeau Revolutionary Route,National Historic Trail,"In 1781, General Rochambeau’s French Army joined forces with General Washington’s Continental Army to fight the British Army in Yorktown, Virginia. With the French Navy in support, the allied armies moved hundreds of miles to become the largest troop movement of the American Revolution. The effort and cooperation between the two sides led to a victory at Yorktown and secured American independence.",Washington-Rochambeau National Historic Trail,,1400 North Outer Line Drive,King of Prussia,PA,19406,610-783-1006
World War I Memorial,,"A grateful nation honors the service, valor, courage and sacrifice of the 4.7 million American sons and daughters who served in the Great War.",,,,,,,(202) 426-6841
World War II Memorial,,"Through stone architecture and bronze sculptures, the World War II Memorial recognizes the ways Americans served, honors those who fell, and recognizes the victory they achieved to restore freedom and end tyranny around the globe.",900 Ohio Drive SW,,,Washington,DC,20024,202-426-6841
Big Cypress,National Preserve,"The freshwaters of the Big Cypress Swamp, essential to the health of the neighboring Everglades, support the rich marine estuaries along Florida's southwest coast. Conserving over 729,000 acres of this vast swamp, Big Cypress National Preserve contains a mixture of tropical and temperate plant communities that are home to diverse wildlife, including the Endangered Florida panther.",33100 Tamiami Trail East,,,Ochopee,FL,34141,239 695-2000
Biscayne,National Park,"Within sight of Miami, yet worlds away, Biscayne protects a rare combination of aquamarine waters, emerald islands, and fish-bejeweled coral reefs. Evidence of 10,000 years of human history is here too; from prehistoric tribes to shipwrecks, and pineapple farmers to presidents. For many, the park is a boating, fishing, and diving destination, while others enjoy a warm breeze and peaceful scenery.",9700 SW 328th Street,Sir Lancelot Jones Way,,Homestead,FL,33033,305 230-1144
Canaveral,National Seashore,"Reflect on a pristine undeveloped shoreline, explore a historic site, or experience the rumble of a rocket soaring into space.
This pristine barrier island composed of dune, hammock and lagoon habitats provides protection from storms, preserves ancient Timucua Native American mounds, and is sanctuary for thousands of species of plants and animals that call Canaveral National Seashore home.","Canaveral National Seashore Headquarters,",212 S Washington Ave,,Titusville,FL,32796,321 267-1110
Castillo de San Marcos,National Monument,"Built by the Spanish in St. Augustine to defend Florida and the Atlantic trade route, Castillo de San Marcos National Monument preserves the oldest masonry fortification in the continental United States and interprets more than 450 years of cultural intersections.",1 South Castillo Drive,,,Saint Augustine,FL,32084,904 829-6506
De Soto,National Memorial,"In May 1539, Conquistador Hernando de Soto’s army of soldiers, hired mercenaries, craftsmen, and clergy made landfall in Tampa Bay. They were met with fierce resistance of indigenous people protecting their homelands. De Soto’s quest for glory and gold would be a four year, four thousand mile odyssey of intrigue, warfare, disease, and discovery that would form the history of the United States.",8300 De Soto Memorial Hwy,,,Bradenton,FL,34209,941 792-0458
Dry Tortugas,National Park,"Almost 70 miles (113 km) west of Key West lies the remote Dry Tortugas National Park. This 100-square mile park is mostly open water with seven small islands.  Accessible only by boat or seaplane, the park is known the world over as the home of magnificent Fort Jefferson, picturesque blue waters, superlative coral reefs and marine life, and the vast assortment of bird life that frequents the area.",40001 SR-9336,,,Homestead,FL,33034,305 242-7700
Everglades,National Park,"Everglades National Park protects an unparalleled landscape that provides important habitat for numerous rare and endangered species like the manatee,  American crocodile, and the elusive Florida panther.
An international treasure as well -  a World Heritage Site, International Biosphere Reserve, a Wetland of International Importance, and a specially protected area under the Cartagena Treaty.",40001 State Road 9336,,,Homestead,FL,33034,305 242-7700
Fort Caroline,National Memorial,"At the settlement of la Caroline, French settlers struggled for survival in a new world.  Many sought religious freedom in a new land, while others were soldiers or tradesmen starting a new life.  The climactic battles fought here between the French and Spanish marked the first time that European nations fought for control of lands in what is now the United States.  It would not be the last time.",12713 Fort Caroline Road,,,Jacksonville,FL,32225,904-641-7155
Fort Matanzas,National Monument,"Fort Matanzas National Monument preserves the fortified coquina watchtower, completed in 1742, which defended the southern approach to the Spanish military settlement of St. Augustine. It also protects approximately 300 acres of Florida coastal environment containing dunes, marsh, maritime forest, and associated flora and fauna, including threatened and endangered species.",8635 A1A South,,,Saint Augustine,FL,32080,904 471-0116
Gulf Islands,National Seashore,"Millions of visitors are drawn to the Gulf of Mexico for Gulf Islands National Seashore's emerald coast waters, magnificent white beaches, fertile marshes and historical landscapes. Come explore with us today!",1801 Gulf Breeze Parkway,,,Gulf Breeze,FL,32563,850 934-2600
Timucuan,Ecological & Historic Preserve,"Visit one of the last unspoiled coastal wetlands on the Atlantic Coast. Discover 6,000 years of human history and experience the beauty of salt marshes, coastal dunes, and hardwood hammocks.
The Timucuan Preserve includes Fort Caroline and Kingsley Plantation.",12713 Fort Caroline Road,,,Jacksonville,FL,32225,904-641-7155
Andersonville,National Historic Site,"Nearly 13,000 men died on these grounds, a site that became infamous even before the Civil War ended. Their burial grounds became Andersonville National Cemetery, where veterans continue to be buried today. This place, where tens of thousands suffered captivity so others could be free, is also home to the National Prisoner of War Museum and serves as a memorial to all American prisoners of war.",Andersonville National Cemetery,National Prisoner of War Museum,496 Cemetery Road,Andersonville,GA,31711,229 924-0343
Appalachian,National Scenic Trail,"The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers.",Appalachian Trail Park Office,P.O. Box 50,,Harpers Ferry,WV,25425,304 535-6278
Chattahoochee River,National Recreation Area,"Today the river valley attracts us for so many reasons. Take a solitary walk to enjoy nature’s display, raft leisurely through the rocky shoals with friends, fish the misty waters as the sun comes up, or have a picnic on a Sunday afternoon. Get Outdoors and experience your Chattahoochee River National Recreation Area as you have never done before.",1978 Island Ford Parkway,,,Sandy Springs,GA,30350,678-538-1200
Chickamauga & Chattanooga,National Military Park,"In 1863, Union and Confederate forces fought for control of Chattanooga, known as the ""Gateway to the Deep South."" The Confederates were victorious at nearby Chickamauga in September. However, renewed fighting in Chattanooga that November provided Union troops victory and control of the city. After the fighting, a Confederate soldier ominously wrote, ""This...is the death-knell of the Confederacy.""",3370 LaFayette Road,,,Fort Oglethorpe,GA,30742,706-866-9241
Cumberland Island,National Seashore,"St Marys is the gateway to Cumberland Island, Georgia's largest and southernmost barrier island. Here pristine maritime forests, undeveloped beaches and wide marshes whisper the stories of both man and nature. Natives, missionaries, enslaved African Americans and Wealthy Industrialists all walked here.  Cumberland Island is also home to over 9,800 acres of Congressionally designated Wilderness.",101 Wheeler St,,,St. Marys,GA,31558,912 882-4336
Fort Frederica,National Monument,"Georgia's fate was decided in 1742 when Spanish and British forces clashed on St. Simons Island. Fort Frederica's troops defeated the Spanish, ensuring Georgia's future as a British colony. Today, the archeological remnants of Frederica are protected by the National Park Service.",Fort Frederica National Monument,6515 Frederica Rd.,,St. Simons Island,GA,31522,912 638-3639
Fort Pulaski,National Monument,"For much of the 19th century, masonry fortifications were the United States’ main defense against overseas enemies. However, during the Civil War, new technology proved its superiority to these forts. The Union army used rifled cannon and compelled the Confederate garrison inside Fort Pulaski to surrender. The siege was a landmark experiment in the history of military science and invention.",P.O. Box 30757,,,Savannah,GA,31410,912 786-5787
Jimmy Carter,National Historical Park,"Few U.S. Presidents have had such close ties with where they were born and raised. The rural southern culture of Plains, Georgia, that revolves around farming, church and school, had a large influence in molding the character and in shaping the political policies of the 39th President of the United States.",300 North Bond Street,,,Plains,GA,31780,(229) 824 - 4104
Kennesaw Mountain,National Battlefield Park,"Kennesaw Mountain National Battlefield Park is a 2,965 acre National Battlefield that preserves a Civil War battleground of the Atlanta Campaign. Opposing forces maneuvered and fought here from June 19, 1864 until July 2, 1864. Although most famous as a Civil War battlefield, Kennesaw Mountain has a much richer story.",900 Kennesaw Mountain Dr,,,Kennesaw,GA,30152,770-427-4686
"Martin Luther King, Jr.",National Historical Park,"A young boy grows up in a time of segregation…A dreamer is moved by destiny into leadership of the modern civil rights movement…This was Martin Luther King, Jr.  Come hear his story, visit the home of his birth, and where he played as a child.  Walk in his footsteps, and hear his voice in the church where he moved hearts and minds.  Marvel at how he was an instrument for social change.","450 Auburn Avenue, NE",,,Atlanta,GA,30312,404 331-5190
Ocmulgee Mounds,National Historical Park,"Welcome to Ocmulgee Mounds National Historical Park. This park is a prehistoric American Indian site, where many different American Indian cultures occupied this land for thousands of years. American Indians first came here during the Paleo-Indian Period hunting Ice Age mammals. Around 900 CE, the Mississippian Period began, and people constructed mounds for their elite, which remain here today.",1207 Emery Hwy,,,Macon,GA,31217,478 752-8257
Trail Of Tears,National Historic Trail,"Remember and commemorate the survival of the Cherokee people, forcefully removed from their homelands in Georgia, Alabama, and Tennessee to live in Indian Territory, now Oklahoma. They traveled by foot, horse, wagon, or steamboat in 1838-1839.",National Trails Office Regions 6|7|8,Trail of Tears National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505 988-6098
War In The Pacific,National Historical Park,"War in the Pacific National Historical Park was established to commemorate the bravery and sacrifice of those participating in the campaigns of the Pacific Theater of World War II and to conserve and interpret outstanding natural, scenic, and historic values and objects of the island of Guam.",135 Murray Blvd.,Ste. 100,,Hagatna,GU,96910,(671) 333 4050
Ala Kahakai,National Historic Trail,"Established in 2000 to preserve, protect and interpret traditional Native Hawaiian culture and natural resources, Ala Kahakai National Historic Trail is a 175 mile corridor encompassing a network of culturally and historically significant trails. This ""trail by the sea"" traverses wahi pana (storied landscapes), ancient Hawaiian sites and over 200 ahupua?a (traditional land divisions). Connect now!",Superintendent,Ala Kahakai National Historic Trail,"73-4786 Kanalani Street, #14",Kailua-Kona,HI,96740,(808) 217-0307
Haleakalā,National Park,"This special place vibrates with stories of ancient and modern Hawaiian culture and protects the bond between the land and its people. The park also cares for endangered species, some of which exist nowhere else. Come visit this special place - renew your spirit amid stark volcanic landscapes and sub-tropical rain forest with an unforgettable hike through the backcountry.",Haleakalā National Park,PO Box 369,,Makawao,HI,96768,808 572-4400
Hawaiʻi Volcanoes,National Park,"Hawai‘i Volcanoes National Park protects some of the most unique geological, biological, and cherished cultural landscapes in the world. Extending from sea level to 13,681 feet, the park encompasses the summits of two of the world's most active volcanoes - Kilauea and Mauna Loa - and is a designated International Biosphere Reserve and UNESCO World Heritage Site.",P.O. Box 52,,,Hawaii National Park,HI,96718,808 985-6011
Hono'uli'uli,National Historic Site,"Although not yet open to the public, Hono‘uli‘uli National Historic Site will tell the history of incarceration, martial law, and the experience of prisoners of war in Hawai‘i during World War II. Hono‘uli‘uli National Historic Site will be a place to reflect on wartime experiences and recommit ourselves to the pursuit of freedom and justice.",National Park Service,Hono‘uli‘uli National Historic Site,"99-040 Kauhale Street, PO Box 2079",Aiea,HI,96701,808-824-0145
Kalaupapa,National Historical Park,"When Hansen's disease (leprosy) was introduced to the Hawaiian Islands, King Kamehameha V banished all afflicted to the isolated Kalaupapa peninsula on the north shore of Molokai.
Since 1866, more than 8000 people, mostly Hawaiians, have died at Kalaupapa. Once a prison, Kalaupapa is now refuge for the few remaining residents who are now cured, but were forced to live their lives in isolation.",,,,Kalaupapa,HI,96742,808 567-6802
Kaloko-Honokōhau,National Historical Park,"To survive in a hot and arid environment the native Hawaiians (kanaka maoli) used ancient fishing skills, including the building of fishponds, and the knowledge of the location of precious fresh water (wai) that flows into the many brackish pools throughout the park. The spirit of the people (poe) and the knowledge of the elders (kupuna) created a tradition of respect and reverence for this area.",73-4786 Kanalani St. #14,,,Kailua-Kona,HI,96740,808 329-6881
Pearl Harbor,National Memorial,"At the Pearl Harbor National Memorial, learn about one of the most pivotal moments in US history: the attack on Pearl Harbor, and the subsequent entry of the United States into World War II.",National Park Service,Pearl Harbor National Memorial,1 Arizona Memorial Place,Honolulu,HI,96818,808 422-3399
Puʻuhonua o Hōnaunau,National Historical Park,"Imagine you had just broken the sacred laws, the kapu, and the only punishment was death. Your only chance of survival is to elude your pursuers and reach the Pu?uhonua, a place of refuge. The Pu?uhonua protected the kapu breaker, defeated warriors, as well as civilians during the time of battle. No physical harm could come to those who reached the boundaries of the Pu?uhonua.",PO BOX 129,,,Hōnaunau,HI,96726,808 328-2326
Puʻukoholā Heiau,National Historic Site,"How many places in America can you walk in the footsteps of a king? Where else has a stranded sailor risen up to become a great chief over an entire island? Where else can you experience the culminating event of a people, foretold from centuries past? Where else can you stand on a beach and watch as sharks pass over a submerged temple? Experience all this and much more – only at Pu'ukohola Heiau!",Pu'ukohola Heiau National Historic Site,62-3601 Kawaihae Road,,Kawaihae,HI,96743,808 882-7218
California,National Historic Trail,"Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons.",National Trails Office Regions 6|7|8,California National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505-988-6098
City Of Rocks,National Reserve,"Emigrants of the California Trail describe the rocks here in vivid detail as ""a city of tall spires,” “steeple rocks,"" and ""the silent city."" Today, this backcountry byway attracts rock climbers, campers, hikers, hunters, and those with the spirit of adventure. There's inspirational scenery, exceptional opportunities for geologic study, and remnants of the Old West awaiting your discovery.",City of Rocks National Reserve,P.O. Box 169,,Almo,ID,83312,208-824-5901
Craters Of The Moon,National Monument & Preserve,"Craters of the Moon is a vast ocean of lava flows with scattered islands of cinder cones and sagebrush. We invite you to explore this ""weird and scenic landscape"" where yesterday's volcanic events are likely to continue tomorrow.",Craters of the Moon National Monument and Preserve,P.O. Box 29,,Arco,ID,83213,208 527-1300
Hagerman Fossil Beds,National Monument,"During the Pliocene, this place looked quite different. Lush wetlands, forests, and grasslands provided excellent habitat for a variety of animals. From fascinating, now-extinct creatures like the saber-toothed cat, mastodon, and ground sloth, to more familiar animals like horses, beavers, and birds, the scientific study of Pliocene fossils is the key to Hagerman.",PO Box 570,,,Hagerman,ID,83332,208 933-4105
Ice Age Floods,National Geologic Trail,"At the end of the last Ice Age, 18,000 to 15,000 years ago, an ice dam in northern Idaho created Glacial Lake Missoula stretching 3,000 square miles around Missoula, Montana. The dam burst and released flood waters across Washington, down the Columbia River into Oregon before reaching the Pacific Ocean. The Ice Age Floods forever changed the lives and landscape of the Pacific Northwest.",Program Manager,Ice Age Floods National Geologic Trail,1008 Crest Drive,Coulee Dam,WA,99116,(509) 237-9722
Lewis & Clark,National Historic Trail,"The Lewis and Clark National Historic Trail is approximately 4,900 miles long, extending from Pittsburgh, Pennsylvania, to the mouth of the Columbia River, near present day Astoria, Oregon.  It follows the historic outbound and inbound routes of the Lewis and Clark Expedition as well as the preparatory section from Pittsburgh, Pennsylvania to Wood River, Illinois.",601 Riverfront Dr.,,,Omaha,NE,68102,402 661-1804
Minidoka,National Historic Site,"The Pearl Harbor attack intensified existing hostility towards Japanese Americans. As wartime hysteria mounted, President Roosevelt signed Executive Order 9066 forcing over 120,000 West Coast persons of Japanese ancestry (Nikkei) to leave their homes, jobs, and lives behind, forcing them into one of ten prison camps spread across the nation because of their ethnicity.
This is Minidoka's story.",PO Box 570,,,Hagerman,ID,83332,208-825-4169
Nez Perce,National Historical Park,"Since time immemorial, the valleys, prairies, mountains, and plateaus of the inland northwest have been home to the Nimiipuu (Nez Perce) people. Extremely resilient, they survived the settling of the United States and adapted to a changed world. Nez Perce National Historical Park consists of 38 places important to the history and culture of the Nimiipuu. Explore these places. Learn their stories.",Nez Perce National Historical Park,39063 US Hwy 95,,Lapwai,ID,83540-9715,208 843-7001
Oregon,National Historic Trail,"Imagine yourself an emigrant headed for Oregon: would promises of lush farmlands and a new beginning lure you to leave home and walk for weeks? More than 2,000 miles of trail ruts and traces can still be seen along the Oregon National Historic Trail in six states and serve as reminders of the sacrifices, struggles, and triumphs of early American settlers.","National Trails Office - Regions 6, 7, 8",Oregon National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505-988-6098
Yellowstone,National Park,"On March 1, 1872, Yellowstone became the first national park for all to enjoy the unique hydrothermal and geologic features. Within Yellowstone's 2.2 million acres, visitors have unparalleled opportunities to observe wildlife in an intact ecosystem, explore geothermal areas that contain about half the world’s active geysers, and view geologic wonders like the Grand Canyon of the Yellowstone River.",PO Box 168,,,Yellowstone National Park,WY,82190-0168,307-344-7381
Lewis & Clark,National Historic Trail,"The Lewis and Clark National Historic Trail is approximately 4,900 miles long, extending from Pittsburgh, Pennsylvania, to the mouth of the Columbia River, near present day Astoria, Oregon.  It follows the historic outbound and inbound routes of the Lewis and Clark Expedition as well as the preparatory section from Pittsburgh, Pennsylvania to Wood River, Illinois.",601 Riverfront Dr.,,,Omaha,NE,68102,402 661-1804
Lincoln Home,National Historic Site,"Abraham Lincoln believed in the ideal that everyone in America should have the opportunity to improve their economic and social condition.  Lincoln’s life was the embodiment of that idea.  We know him as the sixteenth president but he was also a spouse, parent, and neighbor who experienced the same hopes, dreams, and challenges of life that are still experienced by many people today.",413 S. 8th Street,,,Springfield,IL,62701,217 492-4241
Mormon Pioneer,National Historic Trail,"Explore the Mormon Pioneer National Historic Trail across five states to see the 1,300-mile route traveled by Mormons who fled Nauvoo, Illinois, to the Great Salt Lake Valley in 1846-1847.",National Trails Office Regions 6|7|8,Mormon Pioneer National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505-988-6098
Pullman,National Monument,"In a growing Chicago neighborhood, diverse people and stories intertwined. All were seeking opportunity. Some succeeded. Others were limited—by race, gender, or economic status. Their stories came together in Pullman, a planned industrial community famed for its urban design and architecture.",11001 S. Cottage Grove Avenue,,,Chicago,IL,60628,773-468-9310
Trail Of Tears,National Historic Trail,"Remember and commemorate the survival of the Cherokee people, forcefully removed from their homelands in Georgia, Alabama, and Tennessee to live in Indian Territory, now Oklahoma. They traveled by foot, horse, wagon, or steamboat in 1838-1839.",National Trails Office Regions 6|7|8,Trail of Tears National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505 988-6098
George Rogers Clark,National Historical Park,"The British flag would not be raised above Fort Sackville Feb. 25, 1779. At 10 a.m., the garrison surrendered to American Colonel George Rogers Clark. His American army, aided by French residents of the Illinois country, had marched through freezing floodwaters to gain this victory. The fort’s capture assured United States claims to the frontier, an area nearly as large as the original 13 states.",401 S. 2nd Street,,,Vincennes,IN,47591,812 882-1776
Indiana Dunes,National Park,"Indiana Dunes National Park hugs 15 miles of the southern shore of Lake Michigan and has much to offer. Whether you enjoy scouting for rare species of birds or flying kites on the sandy beach, the national park's 15,000 acres will continually enchant you.  Hikers will enjoy 50 miles of trails over rugged dunes, mysterious wetlands, sunny prairies, meandering rivers and peaceful forests.",1100 North Mineral Springs Road,,,Porter,IN,46304,219 395-1882
Lewis & Clark,National Historic Trail,"The Lewis and Clark National Historic Trail is approximately 4,900 miles long, extending from Pittsburgh, Pennsylvania, to the mouth of the Columbia River, near present day Astoria, Oregon.  It follows the historic outbound and inbound routes of the Lewis and Clark Expedition as well as the preparatory section from Pittsburgh, Pennsylvania to Wood River, Illinois.",601 Riverfront Dr.,,,Omaha,NE,68102,402 661-1804
Lincoln Boyhood,National Memorial,Abraham Lincoln grew from youth to manhood on this southern Indiana soil.  Many character and moral traits of one of the world's most respected leaders was formed and nurtured here.  Explore Lincoln's boyhood and learn about the boy who would one day become the leader of our nation.,3027 East South Street,PO Box 1816,,Lincoln City,IN,47552,812 937-4541
Effigy Mounds,National Monument,"The mounds preserved here are considered sacred by many Americans, especially the Monument's 20 culturally associated American Indian tribes. A visit offers opportunities to contemplate the meanings of the mounds and the people who built them. The 200 plus American Indian mounds are located in one of the most picturesque sections of the Upper Mississippi River Valley.",151 Hwy 76,,,Harpers Ferry,IA,52146,563 873-3491
Herbert Hoover,National Historic Site,"Orphaned at age nine, Herbert Hoover left West Branch never to live here again. In later years, he returned to his humble birthplace to celebrate his long career of public service. A memorial landscape remains to tell his story: how community, hard work, honesty, and usefulness to others opened a world of opportunity— and the presidency of the United States— to a child of simple beginnings.",P.O. Box 607,,,West Branch,IA,52358,319 643-2541
Lewis & Clark,National Historic Trail,"The Lewis and Clark National Historic Trail is approximately 4,900 miles long, extending from Pittsburgh, Pennsylvania, to the mouth of the Columbia River, near present day Astoria, Oregon.  It follows the historic outbound and inbound routes of the Lewis and Clark Expedition as well as the preparatory section from Pittsburgh, Pennsylvania to Wood River, Illinois.",601 Riverfront Dr.,,,Omaha,NE,68102,402 661-1804
Mormon Pioneer,National Historic Trail,"Explore the Mormon Pioneer National Historic Trail across five states to see the 1,300-mile route traveled by Mormons who fled Nauvoo, Illinois, to the Great Salt Lake Valley in 1846-1847.",National Trails Office Regions 6|7|8,Mormon Pioneer National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505-988-6098
Brown v. Board of Education,National Historic Site,"The story of Brown v. Board of Education, which ended legal segregation in public schools, is one of hope and courage. When the people agreed to be plaintiffs in the case, they never knew they would change history. The people who make up this story were ordinary people. They were teachers, secretaries, welders, ministers and students who simply wanted to be treated equally.",1515 SE Monroe Street,,,Topeka,KS,66612-1143,785 354-4273
California,National Historic Trail,"Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons.",National Trails Office Regions 6|7|8,California National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505-988-6098
Fort Larned,National Historic Site,Discover a complete and authentic army post from the 1860s -1870s! This well-preserved fort on the Santa Fe Trail shares a tumultuous history of the Indian Wars era. The sandstone constructed buildings sheltered troops who were known as the Guardians of the Santa Fe Trail.,1767 KS Hwy 156,,,Larned,KS,67550,620-285-6911
Fort Scott,National Historic Site,"Promises made and broken! Who deserves to be free? The fight for freedom! Soldiers fighting settlers! Each of these stories is a link in the chain of events that encircled Fort Scott from 1842-1873. All of the site's structures, its parade ground, and its tallgrass prairie bear witness to this era when the country was forged from a young republic into a united transcontinental nation.",PO Box 918,,,Fort Scott,KS,66701,620 223-0310
Lewis & Clark,National Historic Trail,"The Lewis and Clark National Historic Trail is approximately 4,900 miles long, extending from Pittsburgh, Pennsylvania, to the mouth of the Columbia River, near present day Astoria, Oregon.  It follows the historic outbound and inbound routes of the Lewis and Clark Expedition as well as the preparatory section from Pittsburgh, Pennsylvania to Wood River, Illinois.",601 Riverfront Dr.,,,Omaha,NE,68102,402 661-1804
Nicodemus,National Historic Site,"Formerly enslaved African Americans left Kentucky at the end of the of post-Civil War Reconstruction period to experience freedom in the ""Promised Land"" of Kansas. Nicodemus represents the involvement of African Americans in the westward expansion and settlement of the Great Plains. It is the oldest and only remaining Black settlement west of the Mississippi River.",304 Washington Ave.,,,Nicodemus,KS,67625-3015,785-839-4233
Oregon,National Historic Trail,"Imagine yourself an emigrant headed for Oregon: would promises of lush farmlands and a new beginning lure you to leave home and walk for weeks? More than 2,000 miles of trail ruts and traces can still be seen along the Oregon National Historic Trail in six states and serve as reminders of the sacrifices, struggles, and triumphs of early American settlers.","National Trails Office - Regions 6, 7, 8",Oregon National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505-988-6098
Pony Express,National Historic Trail,It is hard to believe that young men once rode horses to carry mail from Missouri to California in the unprecedented time of only 10 days. This relay system along the Pony Express National Historic Trail in eight states was the most direct and practical means of east-west communications before the telegraph.,National Trails Regions 6|7|8,Pony Express National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505-988-6098
Santa Fe,National Historic Trail,"You can almost hear the whoops and cries of ""All's set!"" as trail hands hitched their oxen to freight wagons carrying cargo between western Missouri and Santa Fe, New Mexico. Follow the Santa Fe National Historic Trail through five states and you'll find adventure and evidence of past travelers who made this remarkable trip before you!",National Trails Office Regions 6|7|8,Santa Fe National Historic Trail,1100 Old Santa Fe Trail,Santa Fe,NM,87505,505-988-6098
Tallgrass Prairie,National Preserve,"Tallgrass prairie once covered 170 million acres of North America, but within a generation most of it had been transformed into farmland. Today less than 4% remains intact, mostly in the Kansas Flint Hills. Established on November 12, 1996, the preserve protects a nationally significant remnant of the once vast tallgrass prairie ecosystem. Here the tallgrass makes its last stand.",2480B KS Hwy 177,,,Strong City,KS,66869,620 273-8494
Abraham Lincoln Birthplace,National Historical Park,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln.  His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War.  The country's first memorial to Lincoln, built with donations from young and old, enshrines the symbolic birthplace cabin.",2995 Lincoln Farm Road,,,Hodgenville,KY,42748,270 358-3137
Big South Fork,National River & Recreation Area,"Encompassing 125,000 acres of the Cumberland Plateau, Big South Fork National River and Recreation Area protects the free-flowing Big South Fork of the Cumberland River and its tributaries. The area boasts miles of scenic gorges and sandstone bluffs, is rich with natural and historic features and has been developed to provide visitors with a wide range of outdoor recreational activities.",4564 Leatherwood Road,,,Oneida,TN,37841,423 569-9778
Camp Nelson,National Monument,"Established as a supply depot and hospital during the Civil War for the U.S. Army, Camp Nelson became a large recruitment and training center for African American soldiers (USCTs), and a refugee camp for their wives and children. Thousands of enslaved people escaped to this site with the hope of securing freedom and ultimately controlling their futures by aiding in the destruction of slavery.",6614 Old Danville Road,Loop 2,,Nicholasville,KY,40356,(859) 881-5716
Cumberland Gap,National Historical Park,"At Cumberland Gap, the first great gateway to the west, follow the buffalo, the Native American, the longhunter, the pioneer... all traveled this route through the mountains into the wilderness of Kentucky. Modern day explorers and travelers stand in awe at this great gateway and the many miles of trails and scenic features found in the park.",91 Bartlett Park Road,,,Middlesboro,KY,40965,606 248-2817
Fort Donelson,National Battlefield,"Brigadier General Ulysses S. Grant was becoming quite famous as he wrote these words following the surrender of Confederate Fort Donelson on Sunday, February 16, 1862. The Union victory at Fort Donelson elated the North, and stunned the South. Within days of the surrender, Clarksville and Nashville would fall into Union hands. Grant and his troops had created a pathway to victory for the Union.",174 National Cemetery Drive,PO Box 434,,Dover,TN,37058,931-232-5706
